	0
ENSG00000078399	15065
ENSG00000084092	9417
ENSG00000172322	20471
ENSG00000224680	34318
PSG4	26912
IFITM3P2	12225
KRTAP5-AS1	22162
TRR-CCT7-1	16
PDE4DIPP5	37614
PHGDH	15573
KHSRPP1	33976
ENSG00000174306	6865
ENSG00000146963	8000
LINC01269	33972
ENSG00000011422	5652
RPL26P4	16
RPL32P26	32680
GTF2IP2	23415
SNRPGP15	31309
RPS8P1	16
ENSG00000229944	33298
PIK3CD-AS2	37719
ENSG00000229674	14291
ENSG00000177943	10262
ENSG00000185215	4712
PKD1P4	36223
ENSG00000197150	9696
ENSG00000254389	4983
ENSG00000111605	7611
LINC02755	23939
KLF2P1	34845
ENSG00000125107	16066
RPS6P3	37548
ENSG00000241015	31206
TMEM177	5900
ENSG00000163746	36369
ENSG00000242134	33157
LOC441179	38701
RHBDL2	4549
ENSG00000169515	18840
ENSG00000287259	38812
PPRC1	8455
ENSG00000252889	31427
ENSG00000259256	23870
LINC00440	25449
WDFY1	21530
ENSG00000242635	28525
C1S	36774
ENSG00000227518	31669
ZNF552	7816
ENSG00000123395	19505
TBCC	12761
ENSG00000280424	37972
LAPTM4A-DT	36743
ENSG00000060237	19107
ENSG00000165775	3776
CACYBP	8095
MIR3672	4160
WASF3	3724
ENSG00000100528	3994
ENSG00000170364	20077
CLEC2L	7512
ZBTB33	14910
ENSG00000263002	16515
KCTD13	12091
ENSG00000237964	26851
MIR3938	14034
ENSG00000014164	659
ENSG00000105447	10902
EXOSC5	18065
ENSG00000214869	33563
PPP1R14BP2	36859
ENSG00000226976	35084
ENSG00000135094	14405
VN1R77P	16
HNRNPKP4	36556
MIR4654	21632
ENSG00000117461	3432
ENSG00000100890	14527
ST13P18	24363
SINHCAFP3	1767
ENSG00000134184	4735
ENSG00000204661	31839
SWT1	10862
ENSG00000105519	2729
MIR5004	15799
LINC00896	11582
RNU6-2	7079
HMGB1P9	20581
ENSG00000204161	2877
MIR552	12547
ENSG00000183134	2329
RNU6-21P	8764
ENSG00000178896	15894
ENSG00000167131	13277
ENSG00000214628	25047
ENSG00000106333	12957
BCAP29	2092
ENSG00000176239	27013
ENSG00000235706	16184
ENSG00000270268	24198
ENSG00000215834	22023
LINC00971	23536
MAL	10567
ENSG00000169105	16397
MIR320C2	2550
ENSG00000163565	21503
UPF3AP1	36255
ENSG00000174886	16961
NXPH2	5202
SLC25A40	14507
ENSG00000211914	957
ENSG00000115760	21600
ENSG00000223822	1485
ENSG00000234345	25420
ENSG00000165886	3935
ENSG00000276600	17294
MUCL3	1175
PIGQ	10879
PRDM8-AS1	35693
HSD17B7	2890
ENSG00000227693	1416
ENSG00000224875	25297
USP9YP24	22578
ENSG00000245614	21210
ENSG00000134313	19161
ENSG00000258685	1674
ENSG00000181392	17998
MIR937	7784
MRPL45P2	37250
ENSG00000234912	13110
MIR605	6542
KCNQ5-IT1	39288
STXBP6	14828
RPS7P8	34087
ENSG00000260452	29957
RNU6-1281P	35392
ENSG00000147003	6706
ENSG00000258995	1673
ENSG00000147127	10778
ENSG00000239524	34979
MIR3926-1	2475
ENSG00000251829	10401
NEUROD1	18778
ENSG00000124302	4788
CNOT3	314
ENSG00000228089	27468
ENSG00000207274	30443
SNORD115-16	10090
TRGV2	17470
ENSG00000117620	28270
ENSG00000259687	33894
IL27	3280
ENSG00000288598	38255
RNA5SP74	19675
ENSG00000148229	6341
ENSG00000131069	1420
FTLP16	23573
ENSG00000198868	34475
CHAF1A	1534
RANP2	30497
CFAP126	14808
ENSG00000269038	26885
ENSG00000225442	31067
RN7SKP193	28701
POU6F2-AS2	4229
AP3D1	19486
ENSG00000207864	10962
RPL21P63	39567
ENSG00000263409	18870
SAMSN1	2153
RN7SL167P	26397
ENSG00000284564	14882
PTPRN2-AS1	35212
ENSG00000220575	19060
ENSG00000072080	6381
HSPA12A-AS1	33024
VHLL	13422
ENSG00000249545	7226
ENSG00000276234	1111
RFC5P1	28144
ENSG00000263499	38489
ENSG00000267308	28529
UNC5C-AS1	28803
ENSG00000252424	16005
ENSG00000249620	24928
GOLGA2P5	21176
ASH1L	12266
ENSG00000226144	3262
MTND5P1	26907
ENSG00000054118	4493
ENSG00000134882	4240
ENSG00000162814	6667
RNU7-175P	32481
ENSG00000223581	30827
MTCO1P45	27067
ENSG00000253276	16400
ENSG00000114124	15579
ENSG00000212829	1623
MIR4653	8928
ENSG00000184788	26878
ENSG00000231278	14664
TRQ-CTG4-1	16
DNAJA1P6	24355
ENSG00000137860	11516
ENSG00000276088	36254
LINC01564	19115
ENSG00000164871	385
ENSG00000154473	6008
WNT16	28613
ENSG00000260941	33490
ENSG00000264910	34984
ENSG00000263841	36348
LINC02472	23975
CENPU	12001
ENSG00000268754	7677
ENSG00000248677	29309
ENSG00000184979	29859
RNU6-530P	29768
ENSG00000264892	36258
LINC02438	23920
ENSG00000206747	28713
ENSG00000279579	23369
LINC01471	28742
ENSG00000174963	32894
PSMC3P1	16
ENSG00000207612	6533
TLNRD1	16362
ROPN1L-AS1	35081
ENSG00000207426	22109
ENSG00000130202	9690
ENSG00000255492	131
SAR1AP2	5402
LINC01968	31257
ENSG00000275238	19559
ENSG00000234359	25140
LCDR	12732
ENSG00000238371	39095
ENSG00000251260	35368
ENSG00000210174	25
ENSG00000164494	8949
POTEF	17721
ENSG00000273749	107
ENSG00000225591	39677
ENSG00000185753	3409
UST-AS1	29713
ENSG00000054938	20651
NSD1	14502
TMEM244	8042
ENSG00000266192	13848
CDHR2	15226
RPS26P32	16
SIK3	1761
ENSG00000280191	38251
SMBD1P	37007
IL5	8865
MEIS3P1	6258
FCRL2	21629
ENSG00000283785	5511
ENSG00000110031	10547
NCSTNP1	23008
ENSG00000227097	32333
CYCSP33	3588
ENSG00000207296	23088
ENSG00000139178	3050
RNU6-217P	36405
ENSG00000250442	26679
LOC107986954	38005
NDUFA4P2	7601
ENSG00000255226	28484
ZHX3	6865
WDR59	8151
CBY2	4214
LINC02449	36662
ENSG00000115504	13764
LCEP2	35918
ENSG00000252489	32614
ENSG00000198909	14689
ENSG00000119397	10499
LOC101929777	769
AMH	712
ENSG00000122641	31876
TMEM252	9363
CYP4F59P	17840
ENSG00000169813	11702
MIR3689A	18015
RN7SL75P	33377
ENSG00000222246	11746
BNIP3P14	16
ENSG00000175224	20965
ENSG00000188687	17612
RNA5SP462	14645
CFL1P5	773
KLK5	18274
ENSG00000230215	11312
SELENOT	19344
ENSG00000057657	6394
ENSG00000237872	15954
PRR5L	2402
ENSG00000181904	11514
ENSG00000104903	10694
ENSG00000218143	30043
RPS9P2	16
ENSG00000111241	35895
PSD3	12215
MRAP-AS1	24135
MIR186	19807
RN7SL740P	23447
NELFE	1097
ABR-AS1	22326
MIR4418	20117
ENSG00000257414	35834
ENSG00000184182	13843
ADAM3B	14807
ENSG00000234324	36983
ENSG00000179085	14430
ENSG00000240511	31523
LINC02271	24433
LPP-AS2	20913
ENSG00000238000	3025
ENSG00000184055	15908
ENSG00000223718	39511
COMMD3	13653
ENSG00000261570	28817
ENSG00000118193	12087
ENSG00000284142	7800
ENSG00000114867	6984
ENSG00000253934	23110
ENSG00000234855	27653
ENSG00000241746	39499
ENSG00000253292	30012
ENSG00000228646	31291
NLRP3P1	3364
ENSG00000105707	15604
ENSG00000212366	31736
ENSG00000202187	19738
TUBBP8	32709
CAPN13	2841
ENSG00000070756	8324
ENSG00000179571	8242
PARP4	3549
MSRA	22921
ENSG00000106346	16579
CLEC9A	4717
ENSG00000171136	3371
MSH2	12526
RPL22P20	22724
ENSG00000215326	1403
MRAS	9006
ENSG00000234177	5212
ENSG00000019169	17943
ENSG00000250526	33884
RAX2	8370
ENSG00000147604	5067
ENSG00000234982	26811
LOC107985253	38599
GOLGA2P7	35241
FAM91A4P	16
ENSG00000141434	25649
ENSG00000269186	19007
ZZZ3	6974
RCC2P2	22487
ENSG00000269897	32470
MIR1181	7082
RPL6P16	28249
ENSG00000159433	18069
ENSG00000233760	39335
LINC02570	440
TSPAN5-DT	34355
SLC46A2	9830
ENSG00000254896	36871
PCDHAC2	9615
MTND5P9	28466
MIR548AT	15643
ENSG00000201210	19211
HEPH	12468
ASIC3	9562
ENSG00000185650	212
ENSG00000185847	36954
NUTM2A-AS1	15274
ENSG00000118894	9843
RPL23AP62	25848
ENSG00000136371	13536
SBSN	20300
ENSG00000270325	36103
ENSG00000223587	26635
ENSG00000168517	19594
ENSG00000280894	33763
TRC-GCA15-1	16
ATP6V1G1P3	30085
ENSG00000123576	7857
ENSG00000226473	30592
SUB1P2	32863
ENSG00000152944	6890
ENSG00000120915	14410
RNU1-5P	3078
ENSG00000259095	25322
FAM72A	6341
ENSG00000226230	39763
ENSG00000113594	6689
ENSG00000232618	19368
ENSG00000251221	16875
ENSG00000215151	2886
ENSG00000244265	30958
LINC01216	4484
FAM72D	36524
AOC2	8465
IMPACT	1883
ENSG00000138430	15344
HEATR1	15271
ENSG00000115539	7564
SNRPCP1	31527
SENP2	11704
ENSG00000183298	28108
ENSG00000232439	32607
LINC02529	29722
ENSG00000163254	2142
ENSG00000133739	3340
ENSG00000251169	34829
JMJD1C	12240
LINC00529	2319
GOT2P2	11157
UBA52P1	16
FEN1	8813
ENSG00000235282	24815
ENSG00000224406	34425
ENSG00000105726	18644
ENSG00000104679	2203
ENSG00000263908	12562
ENSG00000223138	7307
ENSG00000266166	35945
LINC01176	24780
SCEL	3996
IGKV2OR2-8	20401
ENSG00000180596	17575
POLM	12601
CPNE6	23972
ENSG00000238759	30233
IGLV1-44	22309
VN1R98P	16
HCG20	1428
ENSG00000201896	31897
ENSG00000237636	9975
MIR6881	3273
ENSG00000202093	24016
ENSG00000053372	21288
ENSG00000231341	22772
ENSG00000283680	26434
ENSG00000236736	35032
ENSG00000255079	26170
CICP11	35139
ENSG00000158122	11042
ENSG00000237440	5443
C3orf86	19009
ENSG00000105851	34866
HNRNPA1P76	32293
RNU7-10P	20312
ENSG00000239079	38190
GABRB1	24441
HAPLN2	18539
SNORD38C	35141
ENSG00000225929	38042
LINC02997	34838
ENSG00000105397	19238
SLC29A4	14306
ADPRS	20238
ENSG00000144619	6840
ENSG00000184863	14798
OXSR1	2578
BFAR	1061
MIR4774	10631
LINC01657	29495
SLC22A4	12395
ENSG00000099308	20049
MIR548BB	12110
HSP90AA2P	2513
ENSG00000110344	4244
RN7SL774P	30196
ENSG00000207583	6550
DYNC1H1	1981
ENSG00000256577	37031
ENSG00000207217	34869
CYCSP28	20167
ENSG00000206891	36405
MIR1302-3	10611
ENSG00000198142	5439
ENSG00000249811	29184
ENSG00000123908	13729
TPRX1P1	29613
ENSG00000259954	35560
CPP	32622
ENSG00000242752	6433
ENSG00000105875	14746
ENSG00000167394	9629
ENSG00000184856	735
ENSG00000266078	10592
ENSG00000265007	5635
ENSG00000196396	7832
IGKV1-12	1761
ENSG00000269696	35952
MIR3688-1	15194
ENSG00000135063	13786
ENSG00000212380	10122
ENSG00000105549	3004
MKRN8P	15531
RNY3P10	26288
LOC124902595	10040
LOC101929148	37883
LINC01953	26901
ABCB10P4	22173
ENSG00000009790	21526
ULBP3	9042
MIR4322	9546
ENSG00000231384	39386
MARCKSL1	1006
CA12	6089
XKR4-AS1	25362
OR2N1P	261
LOC339260	35989
RPS3AP11	37117
ENSG00000259736	34233
ENSG00000255733	21092
ENSG00000185262	16885
ENSG00000234744	22735
CNNM3	17035
EIF3FP3	36943
GAS7	16060
NEK7	31111
ENSG00000170234	16287
ENSG00000105723	32404
LINC00244	14820
ENSG00000168785	7176
RBMXP1	13990
ENSG00000131400	600
DMTF1	10889
ENSG00000214827	1385
ZFAND6P1	34000
MIR625	3091
ENSG00000163611	8316
ENSG00000183647	18162
ENSG00000240231	34532
ENSG00000168484	10150
ENSG00000278739	29006
ENSG00000187959	35890
BATF3	10445
OR51S1	34750
OR2AE1	18319
ENSG00000187003	29680
ENSG00000204899	3886
ENSG00000249815	32035
TP53TG3B	19402
ENSG00000234724	27821
LOC105379199	38829
CC2D2A	13326
ENSG00000164853	2333
ENSG00000105617	22212
ENSG00000144401	20932
ENSG00000260078	36182
DDTP1	32606
ENSG00000238658	33524
ENSG00000221583	30212
ENSG00000207308	35931
LOC124908056	38052
LINC02357	32268
TRMT10B	10858
ENSG00000225179	24824
ENSG00000215704	3463
ENSG00000266581	11828
OR8G3P	31601
ENSG00000199791	30446
LINC01093	35492
ENSG00000197745	2873
ENSG00000111325	20920
ENSG00000150636	2094
ENSG00000161638	7214
CARF	8331
RNU4-10P	26287
ENSG00000278053	806
ENSG00000244391	31988
CGGBP1	16557
LOC102723536	38235
GALNTL6	1851
ENSG00000009413	6927
ACTBP12	19684
ENSG00000248901	24638
ENSG00000163762	9505
